to,from,weight,season
1,Mainz,50,2021
33,Nürnberg,5,2019
42,Jugend,,2021
5,Arsenal,30,2022
2,Hannover,40,2020
37,Iwata,5,2022
24,Zagreb,60,2018
15,Freiburg,13,2020
23,Anderlecht,18,2017
3,Truiden,17,2020
16,Kiel,8,2019
32,Juventus,15,2021
6,Chelsea,4,2019
8,Monaco,18,2021
28,Köln,,2019
14,Paris FC,80,2019
30,Bielefeld,25,2018
11,Augsburg,5,2017
20,Sandhausen,30,2019
31,Instituto,17,2019
25,Jugend,,2020
34,Fenerbahce,,2021
10,Wolfsburg,,2018
7,Paris  ,,2019
22,Paderborn,25,2021
9,Admira,18,2019
18,Lissabon,5,2021
17,Wolfsburg,,2021
19,Vejle,45,2021
50,Jugend,,2021
44,Jugend,,2021
Deutschland,1,,
Deutschland,33,,
Deutschland,42,,
Griechenland,5,,
Deutschland,2,,
Usbekistan,2,,
Japan,37,,
Kroatien,24,,
Deutschland,24,,
Deutschland,15,,
Belgien,23,,
DR Kongo,23,,
Japan,3,,
Deutschland,16,,
Frankreich,32,,
Komoren,32,,
England,6,,
DR Kongo,6,,
Frankreich,8,,
Martinique,8,,
Dänemark,28,,
Ghana,28,,
Dr Kongo,14,,
Deutschland,30,,
Italien,30,,
Deutschland,11,,
Deutschland,20,,
Deutschland,31,,
Argentinien,31,,
Deutschland,25,,
Türkei,34,,
Deutschland,10,,
Benin,10,,
Frankreich,7,,
Elfenbeinküste,7,,
Deutschland,22,,
Österreich,9,,
Serbien,9,,
Portugal,18,,
Ägypten,17,,
Kanada,17,,
Dänemark,19,,
Afghanistan,19,,
Frankreich,50,,
Kamerun,50,,
Niederlande,44,,
Sierra Leone,44,,
